iter	RMSE
0	79.74542476
1	75.68494856
2	71.98656289
3	68.82775329
4	66.01354092
5	63.35664144
6	60.68022642
7	58.75131208
8	56.69241084
9	55.01939823
10	53.33330833
11	51.91088132
12	50.58871772
13	49.32464749
14	48.13016275
15	47.15568712
16	46.21691579
17	45.05121171
18	44.16114736
19	43.33815038
20	42.54228619
21	41.86312695
22	41.10725469
23	40.3527342
24	39.75641777
25	39.29930012
26	38.88990803
27	38.40163105
28	37.83595904
29	37.28104969
30	36.83312161
31	36.34022294
32	35.87149486
33	35.44851847
34	35.00687295
35	34.66291017
36	34.26747303
37	33.86758184
38	33.49905281
39	33.20038306
40	32.87127863
41	32.59497532
42	32.40677286
43	32.10057836
44	31.72894029
45	31.33061546
46	31.05623913
47	30.71993993
48	30.49133067
49	30.22890402
50	30.0483894
51	29.86727856
52	29.60508977
53	29.48901706
54	29.19771223
55	28.80598218
56	28.49267948
57	28.24182474
58	28.09310791
59	27.80859865
60	27.61918673
61	27.37874749
62	27.10573893
63	26.82082221
64	26.59340225
65	26.43107118
66	26.29223981
67	26.11529541
68	25.97775765
69	25.83410479
70	25.65637309
71	25.50551878
72	25.43162572
73	25.30196662
74	25.1895421
75	25.07885468
76	24.79807502
77	24.61134681
78	24.54899415
79	24.3460336
80	24.29023324
81	24.10576347
82	23.94582064
83	23.72925675
84	23.50674019
85	23.42714636
86	23.20102268
87	23.02384788
88	22.83912534
89	22.67531562
90	22.53564459
91	22.44245998
92	22.42197104
93	22.26843917
94	22.08870203
95	21.79291905
96	21.58580767
97	21.37856245
98	21.337247
99	21.13600517
