iter	Passed	Remaining
0	8	833
1	17	873
2	26	862
3	35	849
4	44	843
5	52	827
6	61	820
7	70	805
8	78	791
9	86	778
10	94	767
11	103	758
12	111	746
13	120	737
14	128	728
15	137	719
16	145	712
17	154	704
18	163	695
19	172	688
20	180	679
21	189	670
22	197	662
23	206	654
24	215	647
25	224	639
26	226	613
27	234	604
28	243	596
29	251	587
30	260	579
31	268	571
32	278	565
33	286	556
34	295	548
35	304	540
36	312	532
37	321	524
38	329	515
39	337	506
40	346	498
41	355	490
42	359	476
43	368	468
44	376	460
45	385	452
46	394	445
47	403	437
48	412	429
49	420	420
50	429	412
51	437	404
52	446	396
53	454	387
54	463	378
55	471	370
56	479	361
57	487	353
58	495	344
59	504	336
60	513	327
61	521	319
62	530	311
63	538	303
64	547	294
65	555	286
66	564	277
67	572	269
68	581	261
69	590	252
70	598	244
71	607	236
72	616	227
73	624	219
74	633	211
75	642	202
76	651	194
77	659	186
78	668	177
79	677	169
80	685	160
81	693	152
82	702	143
83	711	135
84	719	127
85	724	117
86	733	109
87	742	101
88	750	92
89	759	84
90	768	75
91	776	67
92	785	59
93	793	50
94	802	42
95	811	33
96	819	25
97	828	16
98	836	8
99	845	0
